periodo;codigo_producto;id_orden;volumen_lote;costo_transformacion;costo_insumo;equipo_id;tipo_equipo;categoria_producto;num_insumos;insumo_1;insumo_2;cantidad_insumo_1;cantidad_insumo_2;modalidad_proceso;duracion_proceso
202508;P06833;581247;1400,000;22,095766070;7,307538146;M08;A1;3;1;B_T;sin_segundo_insumo;2,00;0,00;Y;48,00
202508;P05747;579845;585,000;25,337737440;8,744062738;M16;A1;7;1;B_T;sin_segundo_insumo;1,00;0,00;X;23,00
202508;P08106;574621;1700,000;18,593406230;4,513479443;M02;B2;5;1;B_T;sin_segundo_insumo;1,50;0,00;Y;55,00
202508;P08106;574623;1479,000;21,980558780;3,458604937;M02;B2;5;1;B_T;sin_segundo_insumo;1,00;0,00;Y;61,00
202508;P06942;570832;700,000;13,802248780;5,655982648;M16;A1;5;1;A_T;sin_segundo_insumo;0,50;0,00;Y;17,00
202508;P08372;573671;3244,000;42,744156860;4,730527160;M16;A1;5;1;B_T;sin_segundo_insumo;3,00;0,00;Y;258,00
202508;P08105;574629;1296,288;22,574799210;5,919143780;M14;A1;5;1;B_T;sin_segundo_insumo;1,50;0,00;Y;52,00
202508;P07333;573253;2190,000;48,049224850;4,798958790;M02;B2;5;1;N_O;sin_segundo_insumo;1,50;0,00;X;194,00
202508;P07090;574632;600,000;40,423742350;8,424709673;M16;A1;5;1;N_T;sin_segundo_insumo;2,00;0,00;X;47,00
202508;P00049;576809;600,000;10,740997390;9,112277901;M05;D4;5;1;V_T;sin_segundo_insumo;0,75;0,00;X;10,00
202508;P08283;574087;1169,000;36,385243530;13,127314030;M16;A1;7;1;B_T;sin_segundo_insumo;3,00;0,00;Y;66,00
202508;P08405;576824;1828,000;35,752896980;7,665732860;M09;A1;5;1;N_O;sin_segundo_insumo;2,00;0,00;Y;113,00
202508;P08104;574627;2000,000;23,448418450;5,115276702;M14;A1;5;1;B_T;sin_segundo_insumo;2,00;0,00;Y;85,00
202508;P07903;571820;3534,951;24,711856850;4,124426235;M02;B2;5;1;V_T;sin_segundo_insumo;2,00;0,00;Y;152,00
202508;P06126;576016;2600,000;27,510270420;3,666881822;M08;A1;4;2;N_O;N_T;1,00;1,00;Y;125,00
202508;P07974;561812;10074,000;23,854440130;1,892772034;M17;A1;4;2;N_O;N_T;2,00;2,00;Y;401,00
